id,language_iso639_code,translation
31,ja,薬学
31,vi,Dược
32,en,Nursing
32,ja,看護学
32,vi,Điều dưỡng
33,en,Nutrition and Food Science
33,ja,栄養学・食物学
33,vi,Dinh dưỡng và khoa học thực phẩm
34,en,Kinesiology and Exercise Science
34,ja,運動生理学・スポーツ科学
34,vi,Khoa học thể dục và vận động
35,en,Public Health
35,ja,公衆衛生・健康科学
35,vi,Y tế công cộng
36,en,Neuroscience
36,ja,神経科学
36,vi,Khoa học thần kinh
37,en,Other Medical and Life Sciences
37,ja,その他 医療・薬学・看護・生命科学
37,vi,Các ngành y tế và khoa học đời sống khác
38,en,Agricultural Science
38,ja,農学
38,vi,Khoa học nông nghiệp
39,en,Horticulture
39,ja,農芸化学
39,vi,Làm vườn
40,en,Agricultural Engineering
40,ja,農業工学
40,vi,Kỹ thuật nông nghiệp
41,en,Forestry
41,ja,森林科学
41,vi,Lâm nghiệp
42,en,Veterinary Medicine
42,ja,獣医学
42,vi,Thú y
43,en,Animal Science
43,ja,畜産学・動物学
43,vi,Khoa học động vật
44,en,Fisheries Science
44,ja,水産学
44,vi,Khoa học thủy sản
45,en,Biological Production Science
45,ja,生物生産・生物資源学
45,vi,Khoa học sản xuất sinh học
46,en,Other Agricultural Sciences
46,ja,その他 農・獣医畜産・水産学
46,vi,Các ngành khoa học nông nghiệp khác
47,en,Economics
47,ja,経済学
47,vi,Kinh tế học
48,en,Econometrics
48,ja,数量・計量経済学
48,vi,Kinh tế lượng
49,en,Financial Economics
49,ja,金融経済学
49,vi,Kinh tế tài chính
50,en,Business Economics
50,ja,ビジネス経済学
50,vi,Kinh tế doanh nghiệp
51,en,Business Administration
51,ja,経営学（ビジネス）
51,vi,Quản trị kinh doanh
52,en,Management
52,ja,経営学（マネジメント）
52,vi,Quản lý
53,en,Business Information Technology
53,ja,経営情報学
53,vi,Công nghệ thông tin kinh doanh
54,en,Marketing
54,ja,マーケティング
54,vi,Marketing
55,en,Finance
55,ja,ファイナンス
55,vi,Tài chính
56,en,Accounting
56,ja,会計学
56,vi,Kế toán
57,en,"Other Economics, Business and Accounting"
57,ja,その他 経済・経営・会計学系
57,vi,"Các ngành kinh tế, kinh doanh và kế toán khác"
58,en,Law
58,ja,法学
58,vi,Luật
59,en,Forensic Science
59,ja,法医学
59,vi,Khoa học pháp y
60,en,Criminology and Criminal Justice
60,ja,犯罪学・刑事司法
60,vi,Tội phạm học và Tư pháp hình sự
61,en,Politics
61,ja,政治学
61,vi,Chính trị
62,en,Public Policy
62,ja,公共政策・都市計画
62,vi,Chính sách công
63,en,"Other Law, Politics and Policy"
63,ja,その他 法・政治・政策系
63,vi,"Các ngành luật, chính trị và chính sách khác"
64,en,International Relations
64,ja,国際関係学
64,vi,Quan hệ quốc tế
65,en,Development Studies
65,ja,開発学
65,vi,Nghiên cứu phát triển
66,en,Peace Studies
66,ja,平和学
66,vi,Nghiên cứu hòa bình
67,en,Other International Relations and Development Studies
67,ja,その他 国際関係・開発学系
67,vi,Các ngành quan hệ quốc tế và nghiên cứu phát triển khác
68,en,Architecture
68,ja,建築学
68,vi,Kiến trúc
69,en,Urban Planning
69,ja,都市学
69,vi,Quy hoạch đô thị
70,en,Environmental Studies
70,ja,環境学
70,vi,Nghiên cứu môi trường
71,en,Earth Science
71,ja,地球科学
71,vi,Khoa học trái đất
72,en,Other Architecture and Environmental Studies
72,ja,その他 建築・環境学系
72,vi,Các ngành kiến trúc và nghiên cứu môi trường khác
73,en,Literature
73,ja,文学
73,vi,Văn học
74,en,Linguistics and Foreign Languages
74,ja,言語学・外国語学
74,vi,Ngôn ngữ học và Ngoại ngữ
75,en,Education
75,ja,教育学
75,vi,Giáo dục
76,en,Philosophy
76,ja,哲学
76,vi,Triết học
77,en,History and Archaeology
77,ja,史学・考古学
77,vi,Lịch sử và Khảo cổ học
78,en,Theology
78,ja,宗教学
78,vi,Thần học
79,en,Anthropology and Cultural Studies
79,ja,文化学・人類学
79,vi,Nhân học và Nghiên cứu văn hóa
80,en,Psychology
80,ja,心理学
80,vi,Tâm lý học
81,en,Liberal Arts
81,ja,リベラルアーツ
81,vi,Khoa học xã hội
82,en,Geography
82,ja,地理学
82,vi,Địa lý
83,en,Other Humanities
83,ja,その他 人文学系
83,vi,Các ngành nhân văn khác
84,en,Sociology
84,ja,社会学
84,vi,Xã hội học
85,en,Social Work
85,ja,ソーシャルワーク・社会福祉学
85,vi,Công tác xã hội
86,en,Journalism
86,ja,ジャーナリズム
86,vi,Báo chí
87,en,Communications and Media Studies
87,ja,メディア学・コミュニケーション学
87,vi,Truyền thông và Nghiên cứu truyền thông
88,en,Film and Television Production
88,ja,映画・テレビ制作
88,vi,Sản xuất phim và truyền hình
89,en,Tourism and Recreation
89,ja,観光学・レクリエーション
89,vi,Du lịch và Giải trí
90,en,Fashion and Apparel
90,ja,ファッション・被服学
90,vi,Thời trang và May mặc
91,en,Gender and Women's Studies
91,ja,ジェンダー・女性学
91,vi,Nghiên cứu giới và phụ nữ
92,en,Other Social Sciences
92,ja,その他 社会学・メディア学系
92,vi,Các ngành khoa học xã hội khác
93,en,Fine Arts
93,ja,美術
93,vi,Nghệ thuật
94,en,Music
94,ja,音楽
94,vi,Âm nhạc
95,en,Design
95,ja,デザイン
95,vi,Thiết kế
96,en,Illustration and Animation
96,ja,イラスト・アニメーション
96,vi,Minh họa và Hoạt hình
97,en,Graphic Design and Photography
97,ja,グラフィックデザイン・CG・写真
97,vi,Thiết kế đồ họa và Nhiếp ảnh
98,en,Dance
98,ja,ダンス
98,vi,Nhảy múa
99,en,Crafts
99,ja,工芸
99,vi,Thủ công mỹ nghệ
100,en,Other Fine Arts
100,ja,その他 芸術学系
100,vi,Các ngành nghệ thuật khác
101,en,Aviation
101,ja,航空学
101,vi,Hàng không
102,en,Chemical Engineering
102,ja,化学工学
102,vi,Kỹ thuật hóa học
103,en,Environmental Engineering
103,ja,環境工学
103,vi,Kỹ thuật môi trường
104,en,Acting and Drama
104,ja,演技・演劇
104,vi,Diễn xuất và Kịch nghệ
105,en,English Language and Literature
105,ja,英語・英文学
105,vi,Ngôn ngữ và Văn học Anh
106,en,"Meteorology, Climate and Atmospheric Sciences"
106,ja,気象学・気候学・大気科学
106,vi,"Khí tượng học, Khí hậu và Khoa học khí quyển"
107,en,Audio and Radio Production
107,ja,音声・ラジオ制作
107,vi,Sản xuất âm thanh và phát thanh
108,en,Robotics
108,ja,ロボティクス
108,vi,Ngành người máy
109,en,Bioinformatics
109,ja,バイオインフォマティクス
109,vi,Tin sinh học
110,en,Business Analytics
110,ja,ビジネスアナリティクス
110,vi,Phân tích kinh doanh
111,en,Human Resource Management
111,ja,人材管理
111,vi,Quản lý nguồn nhân lực
112,en,Entrepreneurship
112,ja,起業学
112,vi,Khởi nghiệp
113,en,Information Systems
113,ja,情報システム
113,vi,Hệ thống thông tin
114,en,Construction Engineering
114,ja,建設工学
114,vi,Kỹ thuật xây dựng
115,en,Hospitality and Events Management
115,ja,ホスピタリティ・イベント管理
115,vi,Quản lý khách sạn và sự kiện
116,en,Family and Consumer Sciences
116,ja,家政学
116,vi,Khoa học gia đình và người tiêu dùng
117,en,Marine Science
117,ja,海洋科学
117,vi,Khoa học biển
118,en,International Business
118,ja,国際ビジネス
118,vi,Kinh doanh quốc tế
119,en,Interior Design
119,ja,インテリアデザイン
119,vi,Thiết kế nội thất
120,en,Manufacturing Engineering
120,ja,製造工学
120,vi,Kỹ thuật sản xuất
121,en,Mining Engineering
121,ja,鉱山工学
121,vi,Kỹ thuật khai thác
122,en,Petroleum Engineering
122,ja,石油工学
122,vi,Kỹ thuật dầu khí
123,en,Sports Business
123,ja,スポーツビジネス
123,vi,Kinh doanh thể thao
124,en,Supply Chain and Logistics Management
124,ja,サプライチェーン・ロジスティクス管理
124,vi,Quản lý chuỗi cung ứng và hậu cần
125,en,Energy Science and Technology
125,ja,エネルギー科学技
125,vi,Khoa học và Công nghệ Năng lượng
